[2020-01-26 22:33:30,404] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:33:30,404] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:33:49,748] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:33:49,749] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:35:26,018] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:35:26,018] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:35:38,036] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:35:38,036] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:35:46,030] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:35:46,030] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:36:01,845] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:36:01,845] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:36:54,737] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:36:54,737] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:37:28,525] [ model.py : 28 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:37:28,525] [ model.py : 45 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:38:12,188] [ model.py : 28 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:38:12,189] [ model.py : 45 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:39:50,410] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:39:50,410] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:49:45,081] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:49:45,081] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:52:27,120] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:52:27,120] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:52:57,406] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:52:57,406] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:54:07,934] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:54:07,934] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 22:55:20,759] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 22:55:20,759] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:00:47,146] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:00:47,147] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:01:04,193] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:01:04,193] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:03:45,814] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:03:45,814] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:04:58,821] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:04:58,821] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:06:45,205] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:06:45,206] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:10:33,102] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:10:33,103] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:10:33,394] [ model.py : 137 ] [ INFO ]	 : 公告->主页: action01|click|announcement_close.png|主页
[2020-01-26 23:10:50,648] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:10:50,648] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:10:50,929] [ model.py : 137 ] [ INFO ]	 : 公告->主页: action01|click|announcement_close.png|主页
[2020-01-26 23:11:37,920] [ model.py : 23 ] [ INFO ]	 : loading database from /home/septemberhx/Workspace/git/AutoGameTools/game_tools ...
[2020-01-26 23:11:37,920] [ model.py : 40 ] [ INFO ]	 : loading game Arknights
[2020-01-26 23:11:38,207] [ model.py : 137 ] [ INFO ]	 : 公告->主页: action01|click|announcement_close.png|主页
